"state","county","address","phone","date verified","Website","Interesting fact outside scope","Hours of Operation"
"PA","Chester County","601 Westtown Rd., Ste. 150
PO Box 2747
West Chester, PA 19380-0990","(610) 344-6410",2020-08-16,"https://www.chesco.org/156/Voter-Services",NA,"NA"
"PA","Clarion County","330 Main Street
Rm 104
Clarion, PA 16214","(814) 226-4000",2020-08-16,NA,NA,NA
"PA","Clearfield County","212 E Locust St.
Clearfield, PA 16830","(814) 765-2642",2020-09-08,"https://clearfieldco.org/election-central/",NA,"Monday - Friday
8:30am - 4pm"
"PA","Clinton County","2 Piper Way, Suite 309
Lock Haven, PA 17745-0928","(570) 893-4019",2020-09-08,"https://www.clintoncountypa.com/departments/voter-registration",NA,"8:00am - 5:00pm (Monday, Tuesday, Thursday, Friday)
8:00am - 12:30pm (Wednesday)"
"PA","Columbia County","11 W. Main Street
Bloomsburg, PA 17815-0380","(570) 389-5640",2020-09-08,"http://www.columbiapa.org/voter/",NA,"NA"
"PA","Crawford County","903 Diamond Park
Meadville, PA 16335","(814) 333-7307",2020-09-08,"https://www.crawfordcountypa.net/VoterServices/Pages/home.aspx",NA,"Monday - Friday 8:30 AM to 4:30 PM"
"PA","Cumberland County","1601 Ritner Highway
Carlisle, PA 17013","(717) 240-6385",2020-09-08,"https://www.ccpa.net/66/Bureau-of-Elections",NA,"Monday - Friday
8 a.m. - 4:30 p.m."
"PA","Dauphin County","Dauphin County Administration Building (first floor)
2 South 2nd Street
Harrisburg, PA  17101","(717) 780-6360",2020-09-08,"https://www.dauphincounty.org/government/departments/elections_and_voter_registration/index.php",NA,"NA"
"PA","Delaware County","201 W. Front St.
Government Center Bldg.
Media, PA 19063","(610) 891-4673",2020-09-08,"https://www.delcopa.gov/electionsbureau/absenteevoting.html",NA,"NA"
"PA","Elk County","300 Center St., P.O. Box 448
Ridgway, PA 15853-0448","(814) 776-5337",2020-09-08,"http://www.co.elk.pa.us/index.php/contact-info","PO Box for Election official; however, link to polling places: http://www.co.elk.pa.us/index.php/elk-county-polling-locations","Monday thru Friday 8:30 - 4:00
Closed weekends and holidays"
"PA","Erie County","140 W. 6th St., Rm. 112
Erie, PA 16501","(814) 451-6276",2020-09-08,"https://eriecountypa.gov/departments/elections-voting/registration-and-voting/mail-in-and-absentee-ballots/","three options under returning you ballot: Mail your ballot – using the provided postage paid envelope. Be sure to complete the Voters declaration.
Use the secure drop box, located in front of the Erie County Courthouse. The drop box is available 24/7. Be sure to complete the Voters declaration.
Hand deliver your ballot to the Voters Registration office. Be sure to complete the Voters declaration.","The drop box is open 24/7. Contact the voter registeration office for hours"
"PA","Fayette County","22 E. Main St.
Uniontown, PA 15401-3412","(724) 430-1289",2020-09-08,"https://www.fayettecountypa.org/236/Election-Board",NA,"Monday - Friday
8 a.m. - 4:30 p.m."
"PA","Forest County","526 Elm St. - Unit #3
Tionesta, PA 16353","(814) 755-3537",2020-09-08,"http://www.co.forest.pa.us/departments/elections_and_voter_regisration.php",NA,"8:00 am until 4:00 pm, Monday through Friday."
"PA","Franklin County","Old Courthouse
2 N Main Street
Chambersburg, PA 17201","(717) 261-3810",2020-09-08,"https://www.franklincountypa.gov/index.php?section=governments_voter-registration",NA,"Monday to Friday 8:30am - 4:30pm
Closed on weekends and all county observed holidays"
"PA","Fulton County","116 W. Market St., Ste 205
McConnellsburg, PA 17233","(717) 485-6864",2020-09-08,"https://www.co.fulton.pa.us/elections.php",NA,"Monday - Friday, 8:00am - 4:30pm"
"PA","Greene County","93 E. High St.
Waynesburg, PA 15370","(724) 852-5304",2020-09-08,"https://www.co.greene.pa.us/Department-Elections-Voter-Registration",NA,"Monday - Friday, 8:30AM to 4:30 PM"
"PA","Huntingdon County","223 Penn St. - Courthouse
Huntingdon, PA 16652","(814) 643-3091",2020-08-16,NA,NA,NA
"PA","Indiana County","825 Philadelphia St.
Indiana, PA 15701-3934","(724) 465-3805",2020-09-08,"https://www.indianacountypa.gov/departments/voting-and-elections/elections/",NA,"8:30 a.m. to 4 p.m.
Monday through Friday"
"PA","Jefferson County","155 Main Street, 2nd Floor, Brookville, PA 15825","(814) 849-1603",2020-09-08,"http://www.jeffersoncountypa.com/departments/",NA,"NA"
"PA","Juniata County","The Bousum Building, 26 N. Main Street, Mifflintown","(717) 436-7706",2020-09-08,"https://www.juniataco.org/departments/voter-registration/",NA,"Courthouse Office hours are 8:00 A.M. to 4:30 P.M. Monday through Friday"
"PA","Lackawanna County","123 Wyoming Ave., 2nd Floor
Scranton, PA 18503","(570) 963-6737",2020-08-16,NA,NA,NA
"PA","Lancaster County","150 N. Queen St., Ste 117
Lancaster, PA 17603","(717) 299-8293",2020-09-08,"https://co.lancaster.pa.us/1282/Mail-in-Ballot-Voting","two addresses, one for mail and for drop in in Voting Your Mail-in Ballot","Hours: Monday - Friday 8:30 a.m. - 5 p.m."
"PA","Lawrence County","430 Court St.
New Castle, PA 16101-3593","(724) 656-2161",2020-09-08,"http://co.lawrence.pa.us/departments/voter-registration-and-elections-lawrence_county/","address of voter services","NA"
"PA","Lebanon County","400 South 8th Street
Lebanon, PA 17042","(717) 228-4428",2020-08-16,NA,NA,NA
"PA","Lehigh County","17 S. 7th St.
Allentown, PA 18101","(610) 782-3194",2020-09-08,"https://www.lehighcounty.org/Departments/Voter-Registration/Voter-Office-Information","8:00 p.m. on Tuesday, November 3, 2020, for the General Election.","Business Hours: 8:00 a.m. to 4:00 p.m.   Monday through Friday."
"PA","Luzerne County","20 N Pennsylvania Avenue
Wilkes-Barre, PA 18701","(570) 825-1715",2020-09-08,"https://www.luzernecounty.org/396/Elections",NA,"Monday - Friday
9 a.m. - 4 :30 p.m."
"PA","Lycoming County","Office Location:
Third Street Plaza
33 West Third Street, Williamsport, PA 17701
 
Mailing Address:
48 West Third Street, Williamsport, PA 17701","(570) 327-2267",2020-09-08,"http://www.lyco.org/Departments/Voter-Services","2 addreses, one for mailing, one for office","Monday-Friday, 8:30am-5:00pm
Closed weekends and major holidays"
"PA","McKean County","500 W. Main St.
Smethport, PA 16749","(814) 887-3203",2020-08-16,NA,"Couldnt find",NA
"PA","Mercer County","5 Courthouse
Mercer, PA 16137","(724) 662-7542",2020-09-08,"https://www.mcc.co.mercer.pa.us/Election/default.HTM",NA,"Monday ~ Friday
8:30 am - 4:30 pm
Except Holidays"
"PA","Mifflin County","20 N. Wayne St.
Lewistown, PA 17044","(717) 248-6571",2020-09-08,"http://www.co.mifflin.pa.us/dept/VoterReg/Pages/default.aspx",NA,"Hours: 8:00am - 4:00pm
Monday thru Friday"
"PA","Monroe County","One Quaker Plaza, Rm. 105
Stroudsburg, PA 18360","(570) 517-3165",2020-09-08,"http://www.monroecountypa.gov/Dept/Voter/Pages/default.aspx","Ballots can be mailed using the US Postal Service (give 5-7 days for delivery) or ballots canbe returned by the voter to the Monroe County Election and Voter Registration Office. NO DROP BOX","Hours: 8:30 AM to 4:30 PM
Monday-Friday"
"PA","Montgomery County","Montgomery County Voter Services
One Montgomery Plaza
425 Swede St.
Suite 602
Norristown, PA 19401","(610) 278-3275",2020-09-08,"https://www.montcopa.org/753/Voter-Services","You can ALWAYS drop your ballot off at our office at 425 Swede St in Norristown. We are planning to set up drop boxes throughout the county for the General Election. Follow us on social media or continue to check our website for updates!","Monday - Friday
8:00 AM - 4:30 PM"
"PA","Montour County","253 Mill Street
Danville, PA 17821","(570) 271-3000",2020-09-08,"http://www.montourco.org/Pages/ElectionsAndVoterRegistration.aspx",NA,"9:00 a.m.-4:00 p.m."
"PA","Northampton County","669 Washington St., Room 1211
Easton, PA 18042-4101","(610) 829-6260",2020-09-08,"https://www.northamptoncounty.org/CTYADMN/ELECTNS/Pages/About-Us.aspx",NA,"8:30 a.m. - 4:30 p.m."
"PA","Northumberland County","320 North Second Street,Suite 1
Sunbury, PA 17801","(570) 988-4209",2020-09-08,"https://www.norrycopa.net/index.php/board-of-elections/","Building C","Mon.   9:00a – 5:00p
Tues. – Fri.  9:00a – 4:30p"
"PA","Perry County","P.O. Box 37
New Bloomfield, PA 17068","(717) 582-2131",2020-08-16,NA,NA,NA
"PA","Philadelphia County","Philadelphia County Board of Elections
City Hall Room 142
1400 John F Kennedy Blvd
Philadelphia, PA 19107","(215) 686-3469",2020-09-08,"https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots","Due to the ongoing COVID-19 Pandemic, all City of Philadelphia Offices will remain closed to the Public until further notice.","Due to the ongoing COVID-19 Pandemic, all City of Philadelphia Offices will remain closed to the Public until further notice."
"PA","Pike County","506 Broad St.
Pike County Administration Building
Milford, PA 18337-1535","(570) 296-3426",2020-09-08,"http://www.pikepa.org/elections",NA,"M-F 8:30 - 4:30"
"PA","Potter County","1 N. Main St.
Coudersport, PA 16915","(814) 274-8467",2020-09-08,"https://pottercountypa.net/post.php?pid=8",NA,"NA"
"PA","Schuylkill County","420 N. Centre St.
Pottsville, PA 17901","(570) 628-1467",2020-09-08,"http://www.co.schuylkill.pa.us/Offices/Election/index.asp",NA,"NA"
"PA","Snyder County","9 West Market St., P.O. Box 217
Middleburg, PA 17842","(570) 837-4286",2020-09-08,"http://www.snydercounty.org/Depts/Elections/Pages/ElectionsandVoterRegistration.aspx","2 addresses, one with PO BOx","NA"
"PA","Somerset County","300 N. Center Ave., Ste. 340
Somerset, PA 15501","(814) 445-1549",2020-09-08,"http://www.co.somerset.pa.us/department.asp?deptnum=90",NA,"Monday-Friday
8:30AM-4:00PM
Except on Legal Holidays"
"PA","Sullivan County","P.O. Box 157
Main & Muncy Streets
Laporte, PA 18626-0157","(570) 946-5201",2020-08-16,NA,"No county website but address listed on votespa",NA
"PA","Susquehanna County","P.O. Box 218
31 Lake Ave.
Montrose, PA 18801","(570) 278-4600 x 4090",2020-09-08,"http://susqco.com/Dept/Voter/Pages/default.aspx","PO Box address","Mon-Fri 8:30-4:30"
"PA","Tioga County","118 Main St.
Wellsboro, PA 16901","(570) 723-8230",2020-09-08,"http://www.tiogacountypa.us/Departments/Elections_Voter_Registration/Pages/ElectionsVoterRegistration.aspx",NA,"Monday thru Friday   9:00 A.M. - 4:30 P.M."
"PA","Union County","155 North 15th St.
Lewisburg, PA 17837-8822","(570) 524-8603",2020-09-08,"https://www.unioncountypa.org/departments/elections-voter-registration/absentee-ballot-information/page.aspx?id=1309",NA,"Hours: 8:00 AM - 4:30 PM"
"PA","Venango County","1174 Elk Street
Courthouse Annex, 2nd Floor
Franklin, PA 16323","(814) 432-9508",2020-09-08,"https://www.co.venango.pa.us/356/Voter-Registration-Election-Services","USe the address listed as physical address","Monday - Friday
8:30 am - 4:30 pm
Except legal holidays"
"PA","Warren County","204 4th Ave.
Warren, PA 16365","(814) 728-3406",2020-08-16,NA,"Unreachable",NA
"PA","Washington County","Courthouse Square
100 W. Beau St., Suite 206
Washington, PA 15301","(724) 228-6750",2020-09-08,"http://www.co.washington.pa.us/129/Elections",NA,"NA"
"PA","Wayne County","925 Court St.
Honesdale, PA 18431","(570) 253-5978",2020-09-08,"http://waynecountypa.gov/203/Home",NA,"NA"
"PA","Westmoreland County","2 N. Main St.
Greensburg, PA 15601","(724) 830-3150",2020-09-08,"https://www.co.westmoreland.pa.us/251/Elections",NA,"NA"
"PA","Wyoming County","1 Courthouse Square
Tunkhannock, PA 18657","(570) 996-2226",2020-09-08,"http://www.wycopa.org/Offices/ElectVoter/Pages/default.aspx",NA,"Monday through Friday, 8:30 AM to 4:00 PM"
"PA","York County","28 E. Market St.
York, PA 17401","(717) 771-9604",2020-09-08,"https://yorkcountypa.gov/voting-elections.html",NA,"Hours: 8 a.m. to 4:30 p.m."
