County,Municipality,Any Locations Found?,URL,Location Type,Location Name,Voting Dates and Times,Address Line 1,Address Line 2,City,State,Zip,Special Rules and Instructions,Questions / Notes,Did we Google?,Who called?,Call results,Edits to make,Implemented Edits?
Hillsborough,Tampa,Yes,https://www.votehillsborough.org/VOTERS/Vote-By-Mail,clerk,Robert L. Gilder Elections Service Center,"November 2 – 3, 7 AM – 7 PM",2514 North Falkenburg Rd.,,Tampa,FL,33619,,,X,Jack,Confirmed,,
Hillsborough,Tampa,Yes,https://www.votehillsborough.org/VOTERS/Vote-By-Mail,clerk,Northwest Regional Office,"November 2 – 3, 7 AM – 7 PM",4575 Gunn Hwy.,,Tampa,FL,33624,,,X,Jack,Confirmed,,
Hillsborough,Riverview,Yes,https://www.votehillsborough.org/VOTERS/Vote-By-Mail,clerk,Southeast Regional Office,"November 2 – 3, 7 AM – 7 PM",10020 South U.S. Hwy. 301,,Riverview,FL,33578,,,X,Jack,Confirmed,,
Holmes,Holmes,Yes,https://www.holmeselections.com/3-Ways-to-Vote/Vote-By-Mail-Absentee,dropbox,Supervisor of Elections Office,24 x 7 until 7pm on Election Day,201 N Oklahoma St #102,,Bonifay,FL,32425,must be dropped off by 7pm on Election Day,,Carla,Jack,Confirmed,,
Indian River,Indian River,Yes,https://www.voteindianriver.com/Portals/IndianRiver/2019-20%20Voter%20Guide1.pdf,dropbox,Supervisor of Elections Office,24 x 7 until 7pm on Election Day,4375 43rd Ave,,Vero Beach,FL,32967,,,Carla,Jack,Confirmed,,
Indian River,Indian River,Yes,https://www.voteindianriver.com/Portals/IndianRiver/2019-20%20Voter%20Guide1.pdf,clerk,Supervisor of Elections Office,"M-F 8:30 am - 5:00 pm
Open until 7pm on Election Day",4375 43rd Ave,,Vero Beach,FL,32967,,,Carla,Jack,Confirmed,,
Jackson,Jackson,Yes,https://www.jacksoncountysoe.org/Portals/Jackson/Condensed%20Voter%20Guide%20-%20English%20Only-Web%20Ver.pdf?ver=Xv67Um4Ea9ycltzvnD4W3Q%3d%3d,clerk,Supervisor of Elections Office,"M-F 8:00 am - 4:30 pm
Open until 7pm on Election Day",2851 Jefferson St,,Marianna,FL,32448,,,Carla,Jack,Confirmed,,
Jefferson,Jefferson,Yes,https://www.jeffersonvotes.com/Voter-Information/Vote-By-Mail-Absentee-Voting,clerk,Jefferson County Supervisor of Elections Office,"M-F 8:30 am - 4:30 pm
Open until 7pm on Election Day",1175 W Washington St. ,,Monticello,FL,32344,must be dropped off by 7pm on Election Day,,Carla,Jack,Confirmed,They also have a dropbox right outside that is open 24/7 until the polls close,
Jefferson,,,,dropbox,Jefferson County Supervisor of Elections Dropbox,24 x 7 until 7pm on Election Day,1175 W Washington St. ,,Monticello,FL,32344,must be dropped off by 7pm on Election Day,,,,Added,,Yes
Lafayette,Lafayette,Yes,https://www.lafayettevotes.net/Voter-Information/Vote-By-Mail,clerk,Lafayette County Supervisor of Elections Office,"M-F 8:00 am - 5:00 pm
Open until 7pm on Election Day",120 W Main Street,Room 129,Mayo,FL,32066,must be dropped off by 7pm on Election Day,,Carla,Brenna,Confirmed,,
Lafayette,,,,dropbox,Lafayette County Supervisor of Elections Dropbox,24 x 7 until 7pm on Election Day,120 W Main Street,Room 129,Mayo,FL,32066,must be dropped off by 7pm on Election Day,,,,Added,,Yes
Lake,Lake,Yes,https://www.lakevotes.com/Voter-Information/Vote-By-Mail,dropbox,Supervisor of Elections Office,24 x 7 until 7pm on Election Day,1898 E Burleigh Blvd,,Tavares,FL,32778,located in our parking lot (across from the entrance and flag pole),,Carla,Brenna,Confirmed,,
Lake,Lake,Yes,https://www.lakevotes.com/Voter-Information/Vote-By-Mail,clerk,Supervisor of Elections Office,"M-F 8:00 am - 5:00 pm
Open until 7pm on Election Day",1898 E Burleigh Blvd,,Tavares,FL,32778,,,Carla,Brenna,Confirmed,,
Lee,Lee,Yes,https://www.lee.vote/Vote-by-Mail/Vote-by-Mail-Ballot-Drop-off-Locations,clerk,Lee County Supervisor of Elections Office,"M - F 8:30 a.m. - 5:00 p.m.
11/3: 8:30 A.M. to 7:00 P.M",2480 Thompson St,3rd Floor,Fort Myers,FL,33901,,,X,Brenna,Confirmed,,
Lee,Lee,Yes,https://www.lee.vote/Vote-by-Mail/Vote-by-Mail-Ballot-Drop-off-Locations,clerk,SoE - Cape Coral Branch Office,"M - F 8:30 a.m. - 5:00 p.m.
11/3: 8:30 A.M. to 7:00 P.M",1039 SE 9th Ave,,Cape Coral,FL,33900,,,X,Brenna,Confirmed,,
Lee,Lee,Yes,https://www.lee.vote/Vote-by-Mail/Vote-by-Mail-Ballot-Drop-off-Locations,clerk,SoE - Bonita Springs Branch Office,"M - F 8:30 a.m. - 5:00 p.m.
11/3: 8:30 A.M. to 7:00 P.M",25987 S Tamiami Trail,#105,Bonita Springs,FL,34134,,,X,Brenna,Confirmed,,
Lee,Lee,Yes,https://www.lee.vote/Vote-by-Mail/Vote-by-Mail-Ballot-Drop-off-Locations,clerk,SoE - Lee County Elections Center,"M - F 8:30 a.m. - 5:00 p.m.
11/3: 8:30 A.M. to 7:00 P.M",13180 S Cleveland Ave,,Fort Myers,FL,33907,Across the street from the Bell Tower Shops,,X,Brenna,Confirmed,,
Leon,Tallahassee,Yes,,dropbox,IVS Election Center,"Monday, November 2, 10AM - 5PM
Tuesday, November 3 (Election Day), 7AM - 7PM",2990-1 Apalachee Pkwy,,Tallahassee,FL,32301,,,,Brenna,Edited,Open until 5 PM NOT 6 PM today,Yes
Levy,Levy,Yes,https://www.votelevy.com/Vote-by-Mail,clerk,Supervisor of Elections - Office,"M-F 8:30 a.m. - 4:30 p.m.
Election Day (Tue, Nov 3): 8:30am - 7:00pm",421 S Court St,,Bronson,FL,32621,,,X,Brenna,Confirmed,,
Levy,Levy,Yes,https://www.votelevy.com/Vote-by-Mail,dropbox,Supervisor of Elections - Dropbox,24 x 7 until 7pm on Election Day,421 S Court St,,Bronson,FL,32621,,,X,Brenna,Added,,Yes
Liberty,Liberty,Yes,https://www.libertyelections.com/Voter-Information/-Absentee-Voting/-Absentee-Voting-Info,clerk,Liberty County Supervisor of Elections Office,"Normal business hours

Final deadline: 7pm, Tue, Nov 3 (Election Day)",10818 NW State Road 20,,Bristol,FL,32321,"Enter through West Entrance, Deputy will direct you to Supervisor's office.",,X,Krisserin,Confirmed,,
Madison,Madison,Yes,https://www.votemadison.com/,clerk,SOE  Annex,"M-F 8am - 5pm
Election Day (Tue, Nov 3): 8:00am - 7:00pm",239 SW Pinckney St,,Madison,FL,32340,,,X,Krisserin,Confirmed,,
Manatee,Manatee,Yes,https://www.votemanatee.com/Vote-By-Mail-Early-Voting/VBM-Request-Return-Information,dropbox,Supervisor of Elections Office,24 x 7 until 7pm on Election Day,600 301 Blvd W,Suite 108,Bradenton,FL,34205,There is a window drop box at the window of Suite 108. Mail in ballots must be returned to the office through this drop box by 7pm.,,X,Krisserin,Confirmed,,
Marion,Marion,Yes,https://www.votemarion.gov/Election-Info/Mail-Ballot-Drop-Box-Locations,dropbox,Marion County Supervisor of Elections Office,24 x 7 until 7pm on Election Day,981 NE 16th Street,,Ocala,FL,34470,There is a ballot drop box in the parking lot and one directly inside the door of the office.,,X,Krisserin,Confirmed,yes dropbox not clerk,Yes
Martin,Martin,Yes,https://www.martinvotes.com/content.aspx?id=11,dropbox,Martin County Supervisor of Elections Office,"M - F 8am - 5pm
Election Day (Tue, Nov 3): 8:00am - 7:00pm","135 SE Martin Luther King, Jr., Blvd",,Stuart,FL,34994,Box is right inside the office.,,X,Krisserin,Confirmed,yes dropbox not clerk,Yes
Monroe,Monroe,Yes,https://www.keys-elections.org/m/Voter-Information/Vote-by-Mail,dropbox,SOE Key West Office,"M-F 8:30am - 5:00pm
Election Day (Tue, Nov 3): 8:30am - 7:00pm",530 Whitehead St,#101,Key West,FL,33040,,,X,Krisserin,Confirmed,,
Monroe,Monroe,Yes,https://www.keys-elections.org/m/Voter-Information/Vote-by-Mail,dropbox,SOE Marathon Office,"M-F 8:30am - 5:00pm
Election Day (Tue, Nov 3): 8:30am - 7:00pm","100th Street Center
10015 Overseas Hwy",,Marathon,FL,33050,,,X,Krisserin,Confirmed,Missing street address and wrong ZIP,Yes
Monroe,Monroe,Yes,https://www.keys-elections.org/m/Voter-Information/Vote-by-Mail,dropbox,SOE Key Largo Office,"M-F 8:30am - 5:00pm
Election Day (Tue, Nov 3): 8:30am - 7:00pm","Murray Nelson Center
102050 Overseas Hwy",#137,Key Largo,FL,33037,,,X,Krisserin,Confirmed,Missing building name and wrong ZIP,Yes
Nassau,Nassau,Yes,https://www.votenassau.com/m/Voting-How-When-Where/Vote-by-Mail-Info,dropbox,Nassau County Supervisor of Elections Office,"Election Day (Tue, Nov 3): by 7:00pm",96135 Nassau Place,Suite 3,Yulee,FL,32097,,,X,Krisserin,Confirmed,Dropbox not clerk,Yes
Okaloosa,Okaloosa,Yes,https://www.govote-okaloosa.com/Ways-to-Vote/Vote-By-Mail,dropbox,Branch Office,"Election Day (Tue, Nov 3): by 7:00pm",1250 Eglin Pkwy,Ste 103,Shalimar,FL,32579,,,X,Krisserin,Confirmed,Updated to add 2nd location for Okaloosa. Updated for dropbox not clerk,Yes
Okaloosa,Okaloosa,Yes,https://www.govote-okaloosa.com/Ways-to-Vote/Vote-By-Mail,dropbox,Election Headquarters,"Election Day (Tue, Nov 3): by 7:00pm",302 N Wilson St.,Ste 102,Crestview,FL,32536,,,X,Krisserin,Added,Updated to add 2nd location for Okaloosa. Updated for dropbox not clerk,Yes
Okeechobee,Okeechobee,Yes,https://www.voteokeechobee.com/,clerk,Okeechobee County Supervisor of Elections Office,11/2 - 11/3: 8am - 7pm,304 NW 2nd Street,Room 144,Okeechobee,FL,34972,,,X,Kristin,Edited,8am-7pm (before 7pm),Yes
Okeechobee,Okeechobee,Yes,https://www.voteokeechobee.com/,dropbox,Historic Courthouse,11/2 - 11/3: 8am - 7pm,304 NW 2nd Street,,Okeechobee,FL,34972,"Dropbox on east side of the building, by the sidewalk.",,X,Kristin,Edited,8am-7pm (before 7pm),Yes
Orange,,Yes,https://www.ocfelections.com/vote-by-mail,clerk,Supervisor of Elections Office,"9/24-10/16 Weekdays, 10/19-11/1 7am-5pm 11/2-11/3 7 pm",119 W Kaley St,,Orlando,FL,32806,,I could not find clerk hours on the site,Brad,Kristin,Confirmed,,
Osceola,,Yes,https://www.voteosceola.com/en-us/How-to-Vote/Vote-By-Mail,clerk,Supervisor of Elections Office,M-F 8am - 5pm,2509 E Irlo Bronson Memorial Hwy,,Kissimmee,FL,34744,"Outside anytime before 7pm, drop inside anytime before 5pm",,X,Kristin,Confirmed,,
Palm Beach,Palm Beach,Yes,https://www.pbcelections.org/FAQs/Vote-by-Mail-VBM-FAQs,dropbox,"WEST COUNTY BRANCH OFFICE
West County Office Building Drop Box",11/2 and 11/3: 8:30am-5pm ,2976 FL-15,2nd Floor,Belle Glade,FL,33430,,,Brad,Kristin,Edited,,Yes
Palm Beach,Palm Beach,Yes,https://www.pbcelections.org/FAQs/Vote-by-Mail-VBM-FAQs,dropbox,Palm Beach Supervisor of Elections Main Office Drop Box,24 x 7 until 7pm on Election Day,240 S. Military Trl,,West Palm Beach,,33415,,,,Kristin,Confirmed,,
Palm Beach,Palm Beach,Yes,https://www.pbcelections.org/FAQs/Vote-by-Mail-VBM-FAQs,dropbox,Palm Beach Supervisor of Elections North County Branch Office Drop Box,24 x 7 until 5pm on Election Day,3188 P.G.A. Blvd,RM #2401,Palm Beach Gardens,,33410,,,,Kristin,Confirmed,,
Palm Beach,Palm Beach,Yes,https://www.pbcelections.org/FAQs/Vote-by-Mail-VBM-FAQs,dropbox,Supervisor of Elections South County Branch Office Drop Box,24 x 7 until 5pm on Election Day,345 S. Congress Ave.,Rm. #103,Delray Beach,,33445,,,,Kristin,Confirmed,,
Pasco,Pasco,,https://www.pascovotes.gov/Supervisor-of-Elections/Office-Locations,clerk,Pasco County Supervisor of Elections Office,11/2 and 11/3: 7am - 7pm,14236 6th St,Suite 200,Dade City,,33526,"For more information, call  (352) 521-4302",,,Kristin,Edited,7am-7pm,Yes
Pasco,Pasco,,https://www.pascovotes.gov/Supervisor-of-Elections/Office-Locations,clerk,Pasco County Supervisor of Elections Office,11/2 and 11/3: 7am - 7pm,8731 Citizens Dr,Suite 110,New Port Richey,,34654,"For more information, call (727) 847-8162",,,Kristin,Edited,7am-7pm,Yes
Pasco,Pasco,Yes,https://www.pascovotes.gov/Supervisor-of-Elections/Office-Locations,clerk,Pasco County Supervisor of Elections Office,11/2 and 11/3: 7am - 7pm,4111 Land O' Lakes Blvd,Room 105,Land O' Lakes,,34639,"For more information, call  (813) 929-2788",,Brad,Kristin,Edited,7am-7pm,Yes
Pinellas,,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,clerk,Supervisor of Elections Office - Election Service Center,"7:00 am - 7:00 pm until Tue, Nov 3 (Election Day)",13001 Starkey Rd,,Largo,FL,33773,,,Brad,Kristin,Confirmed,,
Pinellas,,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,clerk,Supervisor of Elections Office - County Courthouse,"7:00 am - 7:00 pm until Tue, Nov 3 (Election Day)",315 Court St #117,,Clearwater,FL,33756,,,Brad,Kristin,Confirmed,,
Pinellas,,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,clerk,Supervisor of Elections Office - County Building,"7:00 am - 7:00 pm until Tue, Nov 3 (Election Day)",501 1st Ave N,,St. Petersburg,FL,33701,,,Brad,Kristin,Confirmed,,
Polk,,Yes,https://www.polkelections.com/Portals/Polk/Documents/Drop%20Box%20locations%20-%202020%20General.pdf?ver=JFgpHiP1icKD_YqRD37Qrw%3D%3D,dropbox,Polk County Supervisor of Elections Office,11/2 and 11/3: 7am - 7pm,250 S. Broadway Avenue,,Bartow,FL,33830,,,X,Kristin,Edited,7am-7pm,Yes
Polk,,Yes,https://www.polkelections.com/Portals/Polk/Documents/Drop%20Box%20locations%20-%202020%20General.pdf?ver=JFgpHiP1icKD_YqRD37Qrw%3D%3D,clerk,Sheriffs NE District Office,11/2 and 11/3: 7am - 7pm,1100 Dunson Rd,,Davenport,FL,33896,,,X,Kristin,Edited,7am-7pm,Yes
Polk,,Yes,https://www.polkelections.com/Portals/Polk/Documents/Drop%20Box%20locations%20-%202020%20General.pdf?ver=JFgpHiP1icKD_YqRD37Qrw%3D%3D,clerk,Polk County Government Center,11/2 and 11/3: 7am - 7pm,930 E Parker St,,Lakeland,FL,33801,,,X,Kristin,Edited,7am-7pm,Yes
Polk,,Yes,https://www.polkelections.com/Portals/Polk/Documents/Drop%20Box%20locations%20-%202020%20General.pdf?ver=JFgpHiP1icKD_YqRD37Qrw%3D%3D,clerk,Election Operations Center,11/2 and 11/3: 7am - 7pm,70 Florida Citrus Blvd,,Winter Haven,FL,33880,,,X,Kristin,Edited,7am-7pm,Yes
Putnam,,Yes,https://soe.putnam-fl.com/VBM-Hidden-Menu-Items/Vote-by-Mail-Absentee,clerk,Putnam County Supervisor of Elections Office,"M-F 8:30 a.m. - 5:00 p.m.
Election Day (Tue, Nov 3): 8:30am - 7:00pm",2509 Crill Ave,Suite 900,Palatka,FL,32177,,,X,Kristin,Confirmed,,
Santa Rosa,,Yes,https://www.votesantarosa.com/Voter-Information/Vote-by-Mail,clerk,Santa Rosa County Supervisor of Elections Office,11/2 and 11/3: 7am - 7pm,6495 Caroline St,Ste F,Milton,FL,32570,,,X,Kristin,Edited,7am-7pm,Yes
Sarasota,,Yes,https://www.sarasotavotes.com/GetDocument.aspx?id=695,dropbox,SOE Sarasota - Terrace Office Drop Box,"Daily, 8:30 a.m. – 6:30 p.m. & 7:00 a.m. – 7:00 p.m. on Election Day",2001 Adams Ln,,Sarasota,FL,34237,"After turning onto Adams Lane, continue about one block past the Terrace Building and look to your left for the big blue tent",,X,Ping,Edited,Spoke with a human: Drive-thru will be staffed 8:30 am to 6:30 pm today and 7 am to 7 pm tomorrow.  .  Address is correct.,Yes
Sarasota,,Yes,https://www.sarasotavotes.com/GetDocument.aspx?id=695,dropbox,SOE Venice - RL Anderson Office Drop Box,"Daily, 8:30 a.m. – 6:30 p.m. & 7:00 a.m. – 7:00 p.m. on Election Day",4000 S Tamiami Trail,,Venice,FL,34293,Look for the big blue tent.,,X,Ping,Edited,"Spoke with a human: Drive-thru will be staffed 8:30 am to 6:30 pm today and 7 am to 7 pm tomorrow.  Look for the big blue tent, can't miss it.  Address is correct.",Yes
Sarasota,,Yes,https://www.sarasotavotes.com/GetDocument.aspx?id=695,dropbox,SOE North Port - Biscayne Office Drop Box,"Daily, 8:30 a.m. – 6:30 p.m. & 7:00 a.m. – 7:00 p.m. on Election Day",13640 Tamiami Trail,,North Port,FL,13640,Look for the big blue tent.,,X,Ping,Edited,"Spoke with a human: Drive-thru will be staffed 8:30 am to 6:30 pm today and 7 am to 7 pm tomorrow.  Look for the big blue tent, can't miss it.  Address is correct.",Yes
