County,Municipality,Any Locations Found?,URL,Location Type,Location Name,Voting Dates and Times,Address Line 1,Address Line 2,City,State,Zip,Special Rules and Instructions,Questions / Notes
Pinellas,Seminole,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Seminole Community Library,"Monday – Friday, 9:00 a.m. – 4:00 p.m.
Saturday, 10:00 a.m. – 4:00 p.m
 thru Nov 2",9200 113th St. N.,,Seminole,FL,33772,No Ballot Drop Off Election Day,
Pinellas,St. Petersburg,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,James Weldon Johnson Branch Library,"Monday – Friday, 10:00 a.m. – 4:00 p.m.
Saturday, NOON. – 4:00 p.m
 thru Nov 2",1059 18th Ave. S.,,St. Petersburg,FL,33705,No Ballot Drop Off Election Day,
Pinellas,Clearwater,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,North County Tax Collector Office,"Monday – Friday, 8:00 a.m. – 5:00 p.m. thru Nov 2",29399 US Hwy. 19 N,,Clearwater,FL,33761,No Ballot Drop Off Election Day,
Pinellas,Pinellas Park,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Barbara S. Ponce Public Library,"Monday – Saturday, 9:00 a.m. – 4:00 p.m. thru Nov 2",7770 52nd St.,,Pinellas Park,FL,33781,No Ballot Drop Off Election Day,
Pinellas,St. Petersburg,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Skyway Plaza Tax Collector Office,"Monday – Friday, 8:00 a.m. – 5:00 p.m. thru Nov 2",1067 62nd Ave. S.,,St. Petersburg,FL,33705,No Ballot Drop Off Election Day,
Pinellas,Safety Harbor,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Safety Harbor Public Library,"Monday – Saturday, 10:00 a.m. – 5:00 p.m. thru Nov 2",101 2nd St. N.,,Safety Harbor,FL,34695,No Ballot Drop Off Election Day,
Pinellas,Dunedin ,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Dunedin Library,"Monday – Saturday, 10:00 a.m. – 5:00 p.m. thru Nov 2",223 Douglas Ave.,,Dunedin ,FL,34698,No Ballot Drop Off Election Day,
Pinellas,Largo,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Largo Public Library,"Monday – Saturday, 10:00 a.m. – 5:00 p.m. thru Nov 2",120 Central Park Dr,,Largo,FL,33771,No Ballot Drop Off Election Day,
Pinellas,St. Petersburg,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,North Community Library,"Monday – Saturday, 10:00 a.m. – 5:00 p.m. thru Nov 2",861 70th Ave N.,,St. Petersburg,FL,33702,No Ballot Drop Off Election Day,
Pinellas,St. Pete Beach,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,St. Pete Beach Public Library,"Monday – Friday, 10:00 a.m. – 5:00 p.m.
Saturday, 10:00 a.m. – 2:00 p.m.
 thru Nov 2",7470 Gulf Blvd.,,St. Pete Beach,FL,33706,No Ballot Drop Off Election Day,
Pinellas,St. Petersburg,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Walter Fuller Recreation Center,"Monday – Friday, 10:00 a.m. – 5:00 p.m. thru Nov 2",7891 26th Ave N.,,St. Petersburg,FL,33710,No Ballot Drop Off Election Day,
Pinellas,Clearwater,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Clearwater Countryside Library,"Monday – Thursday, 10:00 a.m. – 5:00 p.m.
Friday – Saturday, noon – 5:00 p.m.
 thru Nov 2",2642 Sabal Springs Drive,,Clearwater,FL,33761,No Ballot Drop Off Election Day,
Pinellas,St. Petersburg,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,SPC Allstate Center,"Monday – Sunday, 7:00 a.m. – 7:00 p.m.
Monday, November 2nd, 8:00 a.m. – 5:00 p.m.
 thru Nov 2",3200 34th St. S,,St. Petersburg,FL,33711,No Ballot Drop Off Election Day,
